Epoch,best_loss,loss
1,0.04442819952964783,2.265617847442627
2,0.04442819952964783,1.858431339263916
3,0.04442819952964783,1.5295346975326538
4,0.04442819952964783,1.568778395652771
5,0.04442819952964783,1.176139235496521
6,0.04442819952964783,1.035932183265686
7,0.04442819952964783,0.8635104298591614
8,0.04442819952964783,0.8321910500526428
9,0.04442819952964783,0.6801363229751587
10,0.04442819952964783,0.5950994491577148
11,0.04442819952964783,0.6324950456619263
12,0.04442819952964783,0.6461955308914185
13,0.04442819952964783,0.5411249995231628
14,0.04442819952964783,0.413941353559494
15,0.04442819952964783,0.4105377197265625
16,0.04442819952964783,0.43699201941490173
17,0.04442819952964783,0.365867555141449
18,0.04442819952964783,0.3229381740093231
19,0.04442819952964783,0.3566465377807617
20,0.04442819952964783,0.34257614612579346
21,0.04442819952964783,0.3091547191143036
22,0.04442819952964783,0.25634559988975525
23,0.04442819952964783,0.23098376393318176
24,0.04442819952964783,0.28687191009521484
25,0.04442819952964783,0.272806316614151
26,0.04442819952964783,0.20922718942165375
27,0.04442819952964783,0.25443312525749207
28,0.04442819952964783,0.23463554680347443
29,0.04442819952964783,0.2118900567293167
30,0.04442819952964783,0.15360195934772491
31,0.04442819952964783,0.230845645070076
32,0.04442819952964783,0.15657153725624084
33,0.04442819952964783,0.168746680021286
34,0.04442819952964783,0.22304248809814453
35,0.04442819952964783,0.16349004209041595
36,0.04442819952964783,0.14582286775112152
37,0.04442819952964783,0.11816400289535522
38,0.04442819952964783,0.16443943977355957
39,0.04442819952964783,0.14595311880111694
40,0.04442819952964783,0.1847313642501831
41,0.04442819952964783,0.1780056357383728
42,0.04442819952964783,0.12838681042194366
43,0.04442819952964783,0.12508314847946167
44,0.04442819952964783,0.14112545549869537
45,0.04442819952964783,0.19671988487243652
46,0.04442819952964783,0.10689791291952133
47,0.04442819952964783,0.10766898840665817
48,0.04442819952964783,0.13631536066532135
49,0.04442819952964783,0.12061759829521179
50,0.04442819952964783,0.11875871568918228
51,0.04442819952964783,0.10280712693929672
52,0.04442819952964783,0.1434691697359085
53,0.04442819952964783,0.1083727478981018
54,0.04442819952964783,0.08850785344839096
55,0.04442819952964783,0.11629586666822433
56,0.04442819952964783,0.1030326634645462
57,0.04442819952964783,0.11021929234266281
58,0.04442819952964783,0.10857206583023071
59,0.04442819952964783,0.08945685625076294
60,0.04442819952964783,0.10071934759616852
61,0.04442819952964783,0.1299988180398941
62,0.04442819952964783,0.09131574630737305
63,0.04442819952964783,0.09115878492593765
64,0.04442819952964783,0.09567539393901825
65,0.04442819952964783,0.10142218321561813
66,0.04442819952964783,0.11145620793104172
67,0.04442819952964783,0.09529738873243332
68,0.04442819952964783,0.12439872324466705
69,0.04442819952964783,0.07419417798519135
70,0.04442819952964783,0.09406875818967819
71,0.04442819952964783,0.07574203610420227
72,0.04442819952964783,0.08162645250558853
73,0.04442819952964783,0.08516806364059448
74,0.04442819952964783,0.10276491194963455
75,0.04442819952964783,0.06609158217906952
76,0.04442819952964783,0.07147321850061417
77,0.04442819952964783,0.0989287719130516
78,0.04442819952964783,0.10155226290225983
79,0.04442819952964783,0.08395185321569443
80,0.04442819952964783,0.08174142986536026
81,0.04442819952964783,0.08110646903514862
82,0.04442819952964783,0.08187360316514969
83,0.04442819952964783,0.08314183354377747
84,0.04442819952964783,0.07774661481380463
85,0.04442819952964783,0.060162466019392014
86,0.04442819952964783,0.06586918979883194
87,0.04442819952964783,0.061917275190353394
88,0.04442819952964783,0.06785156577825546
89,0.04442819952964783,0.08053778856992722
90,0.04442819952964783,0.059936609119176865
91,0.04442819952964783,0.07827141135931015
92,0.04442819952964783,0.0497942753136158
93,0.04442819952964783,0.05604087561368942
94,0.04442819952964783,0.06666570901870728
95,0.04442819952964783,0.07738729566335678
96,0.04442819952964783,0.071443572640419
97,0.04442819952964783,0.07266539335250854
98,0.04442819952964783,0.05606616288423538
99,0.04442819952964783,0.05209865793585777
100,0.04442819952964783,0.05543699488043785
